t,f,v1,v2,v3,v4,v5
865,3.82E-07,1.352389584,1.298726755,0.053306745,0.000353915,2.17E-06
870,5.78E-07,1.352537017,1.298955458,0.053225753,0.000353966,1.84E-06
875,9.43E-07,1.352299021,1.298587448,0.053356179,0.000353884,1.51E-06
880,1.38E-06,1.35212681,1.29832061,0.05345108,0.000353824,1.30E-06
885,1.46E-06,1.352195512,1.298427292,0.053413105,0.000353848,1.27E-06
890,1.45E-06,1.352316116,1.298614318,0.053346639,0.00035389,1.27E-06
895,1.61E-06,1.352395083,1.29873674,0.053303205,0.000353917,1.22E-06
900,1.52E-06,1.352537801,1.298957584,0.053225001,0.000353967,1.25E-06
905,9.48E-07,1.352881042,1.299487219,0.053038226,0.000354086,1.51E-06
910,9.76E-07,1.353030387,1.299717338,0.052957417,0.000354139,1.49E-06
915,9.09E-07,1.353197323,1.299974091,0.052867498,0.000354197,1.54E-06
920,1.27E-06,1.353140615,1.299887187,0.052897904,0.000354177,1.35E-06
925,8.94E-07,1.353419801,1.300315726,0.05274825,0.000354276,1.55E-06
930,1.51E-06,1.35329097,1.300118421,0.052817064,0.00035423,1.25E-06
935,7.09E-07,1.353757199,1.300832296,0.052568805,0.000354395,1.70E-06
940,6.29E-07,1.354054169,1.301285732,0.052412147,0.000354501,1.79E-06
945,1.05E-06,1.353888473,1.301033322,0.052499254,0.000354442,1.45E-06
950,1.20E-06,1.353888708,1.301033796,0.05249909,0.000354442,1.38E-06
955,1.01E-06,1.354082766,1.301329813,0.05239696,0.000354512,1.48E-06
960,3.90E-07,1.354725616,1.302306192,0.052062511,0.000354743,2.17E-06
965,3.80E-07,1.355128483,1.302915839,0.05185556,0.00035489,2.20E-06
970,7.61E-07,1.354832076,1.302468286,0.052007346,0.000354782,1.66E-06
975,1.28E-06,1.354491581,1.301952254,0.052183322,0.000354659,1.35E-06
980,9.67E-07,1.354701369,1.302270429,0.052074696,0.000354735,1.51E-06
985,1.38E-06,1.354649712,1.302192383,0.052101305,0.000354716,1.31E-06
990,6.31E-07,1.355137869,1.302930625,0.051850558,0.000354894,1.79E-06
995,1.59E-06,1.354836161,1.302475116,0.052005024,0.000354784,1.24E-06
1000,3.17E-07,1.355646644,1.303696561,0.051592637,0.00035508,2.37E-06
1005,1.29E-06,1.355209147,1.303038932,0.051813949,0.00035492,1.35E-06
1010,6.81E-07,1.355597721,1.303623913,0.051617003,0.000355063,1.74E-06
1015,1.29E-06,1.355414773,1.303349054,0.051709375,0.000354995,1.35E-06
1020,4.83E-07,1.355993898,1.30421851,0.051418177,0.000355209,2.00E-06
1025,1.36E-06,1.355635962,1.303682068,0.051597497,0.000355077,1.32E-06
1030,8.72E-07,1.355924767,1.304115469,0.051452535,0.000355184,1.58E-06
1035,4.41E-07,1.356459919,1.304915653,0.051186802,0.000355383,2.08E-06
1040,3.11E-07,1.356984394,1.305696565,0.050929852,0.000355581,2.40E-06
1045,1.21E-06,1.356239391,1.304587086,0.051295617,0.000355301,1.39E-06
1050,1.64E-06,1.356103092,1.304383296,0.051363317,0.00035525,1.23E-06
1055,1.11E-06,1.356369109,1.304780964,0.051231358,0.000355349,1.44E-06
1060,4.67E-07,1.356946804,1.305641213,0.050947987,0.000355567,2.04E-06
